taxon	W	p_val	q_val	diff_abn	(Intercept)	SampleSiteORAL	SampleSiteTANK WATER	global	CLOACA - ORAL	CLOACA - TANK WATER	ORAL - TANK WATER
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Halarcobacter	2.724984762270094	0.5120437539936106	1	FALSE	0.04470050116234899	0.2463641245492203	0.10538925906799063	0.1378402569316897	0.24636412454922033	0.10538925906799063	0.10197449220883323
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__37-13;g__37-13	3.6462091879733722	0.32304701359462606	1	FALSE	0.2735499542358541	0	0.05197363828773171	0	0	0.05197363828773176	0.17847801530885662
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__dgA-11_gut_group	6.443211120349869	0.0797819189626334	1	FALSE	0.14450406503988728	0	0.035186684680828875	0.17912865279052415	0	0.0351866846808289	0.1518499646447856
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium	4.1661420204553785	0.24909427750295454	1	FALSE	0.27462918568983125	0.269807083643917	0.2153158160881354	0.2664612274452335	0.26980708364391703	0.21531581608813544	0.017277869388170993
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvibaculales;f__PS1_clade;g__PS1_clade	2.9307766222769835	0.46197655747746874	1	FALSE	0.09143800326565482	0.05608689086449791	0.08318140346617924	0.03468282918746941	0.05608689086449792	0.08318140346617918	0.08124776640512167
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Ulvibacter	17.014458494437122	4.0400549982861684e-4	0.21048686541070938	FALSE	0	0.0910846162566549	0	0	0.09108461625665497	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Nitrincolaceae;g__Marinobacterium	18.22552528482789	2.2049942697049865e-4	0.11664419686739379	FALSE	0.012153332531925808	0.007301429973042361	0	0	0.007301429973042364	0	0
d__Bacteria;p__Patescibacteria;c__Parcubacteria;o__Candidatus_Kaiserbacteria;f__Candidatus_Kaiserbacteria;g__Candidatus_Kaiserbacteria	39.73003185974903	4.718057119503272e-9	2.5902133586072965e-6	TRUE	0	0.27931658543467547	0	0	0.27931658543467547	0	0
d__Bacteria;p__Planctomycetota;c__OM190;o__OM190;f__OM190;g__OM190	7.091494170483259	0.05769412648433994	1	FALSE	0.05870901394205602	0	0.03789587452444329	0	0	0.03789587452444327	0.00248485643436725
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Coxiellales;f__Coxiellaceae;g__Coxiella	48.56996191522994	5.678018100520203e-11	3.1229099552861114e-8	TRUE	0	0.40874423890895895	0	0	0.4087442389089589	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Proteus	1.6116141025577164	0.8934544984771758	1	FALSE	0.0918302434642489	0.04685261621399284	0.02236648007427091	0.029777124004176724	0.04685261621399282	0.022366480074270962	0.014410232367063255
d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__Melioribacteraceae;g__IheB3-7	1.3643679540910063	0.9889764803520816	1	FALSE	0.32698458243006084	0.6424273546666236	0.003677432103100589	0.6295828930234347	0.6424273546666236	0.003677432103100589	0.44387802384838315
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter	0.40203495733821404	0.3642037286839065	1	FALSE	0.006796488494596253	0.008678118958594218	0.012272741008681037	0.0028892077470159708	0.008678118958594218	0.012272741008681037	0.005910609852659828
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__uncultured	2.840539091031032	0.48329774549559107	1	FALSE	0.07715266785880674	0.01939871820597731	0.11649983304882296	0.05275411782496482	0.019398718205977272	0.11649983304882293	0.05869299009764807
d__Bacteria;p__Bacteroidota;c__Bacteroidia;__;__;__	1.6463202677752655	0.8780840567363707	1	FALSE	0.10626339887777088	0.06471222949698033	0.13547426272365476	0.10778879436874014	0.06471222949698036	0.13547426272365484	0.1728012391738431
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;__	14.064141153466197	0.0017662027142212725	0.8919323706817426	FALSE	0.2970466568573849	0.1965834205895058	0	0	0.1965834205895058	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;__	2.2068201972816777	0.6634757874218751	1	FALSE	0.044153044525185224	0.057238095088647016	0.03243284247037877	0.044490593882764176	0.057238095088647	0.032432842470378725	0.10460442380879491
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenella	7.278860387468221	0.05253461395675649	1	FALSE	0.19671363317716026	0	0.058105030953320876	0	0	0.0581050309533209	0.01581392391169153
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__uncultured	17.758382803220094	2.785134456213514e-4	0.14705509928807353	FALSE	0.25284387919480256	0.24016757939195413	0	0	0.2401675793919541	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Nitrincolaceae;__	6.002209460212026	0.09946419492828928	1	FALSE	0.16458713042936082	0	0	0	0	0	0.16637323853692113
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__Kiloniellaceae;g__Kiloniella	1.2028644101940706	0.9039476242655256	1	FALSE	0.12988549588195186	0.09604875449231672	0.10018395315881344	0.1005777933732734	0.0960487544923167	0.10018395315881344	0.013253065809076635
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Pseudoalteromonas	4.358777099296357	0.22622134211988637	1	FALSE	0.03635863227869799	0.12132386236880126	0.025060712112636857	0.08701761090274658	0.12132386236880124	0.02506071211263685	0.03252187738903683
d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__uncultured	3.8872922516563935	0.2863618823037011	1	FALSE	0.2839316244297359	0.22494822008003373	0	0	0.22494822008003376	0	0.10667277878107247
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides	5.476385437643474	0.1293742983625572	1	FALSE	0	0	0.05381824533264093	0.08361265019429856	0	0.05381824533264091	0.0011273349477408604
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio	1.91917697999292	0.7661009653041118	1	FALSE	0.1668087120119332	0.06828824222862681	0.2702611494864595	0.1901253938721096	0.06828824222862681	0.2702611494864596	0.15362990546450983
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Halieaceae;__	6.805169221813922	0.0665742488341937	1	FALSE	0.14702297231907366	0.12134046589892385	0	0	0.12134046589892385	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__;__	0.596708361515886	0.5159230451004555	1	FALSE	0.09493470019567632	0.04441291764132302	0.15324497064003337	0.06441869338953395	0.044412917641323026	0.15324497064003337	0.07512455173136003
d__Bacteria;p__Bacteroidota;c__Kapabacteria;o__Kapabacteriales;f__Kapabacteriales;g__Kapabacteriales	3.9034190096805204	0.28406212229087363	1	FALSE	0.10024283487518677	0	0.008687567466494803	0.08692083286311754	0	0.008687567466494805	0.07455282955676246
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aurantivirga	2.6264355486198294	0.537906463419935	1	FALSE	0.09700221047026564	0.04727405095233048	0.017585594707030593	0.01939658714171049	0.0472740509523305	0.01758559470703058	0.03445431592421458
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__uncultured;f__uncultured;g__uncultured	5.734358521816872	0.11371817047039529	1	FALSE	0.3005579140671401	0.30706794874866555	0	0	0.30706794874866555	0	0.28031759170948234
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__Woesearchaeales;g__Woesearchaeales	17.5708698883968	3.058891539476699e-4	0.16028591666857903	FALSE	0.10065432546746313	0.15989052321403252	0	0	0.15989052321403252	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Marinomonadaceae;g__Marinomonas	30.30976681672523	5.240198729839319e-7	2.861148506492268e-4	TRUE	0.12476994799720645	0.05316362872613873	0	0	0.05316362872613873	0	0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae;g__Maritalea	9.048523963583811	0.02168542720874493	1	FALSE	0.15142288562454506	0	0.07175805373253756	0	0	0.07175805373253757	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae;g__Shewanella	16.376330015593386	5.558468077892431e-4	0.28848449324261716	FALSE	0	0	0	0	0	0	0.06826853986774219
