taxon	lfc_SampleSiteORAL	lfc_SampleSiteTANK WATER	lfc_SampleSiteTANK WATER_SampleSiteORAL	se_SampleSiteORAL	se_SampleSiteTANK WATER	se_SampleSiteTANK WATER_SampleSiteORAL	W_SampleSiteORAL	W_SampleSiteTANK WATER	W_SampleSiteTANK WATER_SampleSiteORAL	p_SampleSiteORAL	p_SampleSiteTANK WATER	p_SampleSiteTANK WATER_SampleSiteORAL	q_SampleSiteORAL	q_SampleSiteTANK WATER	q_SampleSiteTANK WATER_SampleSiteORAL	diff_SampleSiteORAL	diff_SampleSiteTANK WATER	diff_SampleSiteTANK WATER_SampleSiteORAL	(Intercept)	SampleSiteORAL	SampleSiteTANK WATER	global	CLOACA - ORAL	CLOACA - TANK WATER	ORAL - TANK WATER
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Glaciecola;s__uncultured_bacterium	-0.0604912643160963	6.549623531859017	6.610114796175113	0.7076195197665962	0.884896011079578	0.9501011097414084	-0.08548557893944045	7.401574252627086	6.9572751030405655	0.9318753598410164	1.345793900299944e-13	3.4691712033147346e-12	1	4.1019798081142296e-12	1.0227116707371838e-10	FALSE	TRUE	TRUE	0	0.093135831271668093	0	0	0.093135831271668093	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Ulvibacter;s__uncultured_bacterium	0.11684437285760683	2.2852616737585643	2.1684173009009573	0.7064845617461438	0.8834878822816314	0.9486976073789042	0.16538843052538169	2.586636126640259	2.2856780538236396	1	1	1	1	1	1	FALSE	FALSE	FALSE	0.04422731700165384	0.05984178017244875	0	0	0.05984178017244874	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;__	2.324176039644159	-0.4044295218109467	-2.728605561455106	0.7292390841827356	0.9117197840292062	0.9768600392623011	3.1871248950526048	-0.44358971791051005	-2.7932410496755264	0.0014369471068019562	0.6573392409296748	0.00521827903359636	0.043798147815323624	1	0.1538348659104207	TRUE	FALSE	FALSE	0.20170845633928847	0	0.039482439846540825	0	0	0.039482439846540825	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Reichenbachiella;__	0.2559594433732757	1.6544073103033756	1.3984478669301	0.5960231595920269	0.7464567202042917	0.8128117965771853	0.42944546575753517	2.216347265050537	1.720506361766739	1	1	1	1	1	1	FALSE	FALSE	FALSE	0.09405363796742133	0.0245233778410921	0	0	0.024523377841092087	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Saccharospirillaceae;g__uncultured;__	-0.6717371743855848	3.163694424243266	3.8354315986288507	0.7972074035170181	0.9960567438524447	1.0612520027989516	-0.842612814961452	3.1762190696155095	3.6140630015427657	0.3994450216383202	0.0014920822833560902	3.0143576376964184e-4	1	0.043986585713337537	0.009187762079698684	FALSE	TRUE	TRUE	0.03401179642487258	0.05976742976825433	0	0	0.05976742976825435	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__Aureispira;s__Aureispira_maritima	1.3699594736928553	-0.38866626941443855	-1.7586257431072938	0.705895145618938	0.8827566021022161	0.9479687793464473	1.9407407490975974	-0.4402870151170324	-1.8551515423532545	1	1	1	1	1	1	FALSE	FALSE	FALSE	0.024385601589408442	0	0.008687128889958057	0	0	0.00868712888995805	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Reichenbachiella;s__uncultured_bacterium	1.18869125493616	0.6774997919881796	-0.5111914629479803	0.6911356220458433	0.8644449725382913	0.9297298192349077	1.7199102708922642	0.7837396404756916	-0.5498279740760057	1	1	1	1	1	1	FALSE	FALSE	FALSE	0.03416033699838579	0.14763499666393007	0.04951513397349436	0.1048378328815197	0.14763499666393007	0.049515133973494364	0.09860821118619384
d__Bacteria;p__Myxococcota;c__Polyangia;o__Haliangiales;f__Haliangiaceae;g__Haliangium;s__uncultured_deep-sea	1.1949449153719915	-0.23344984177588718	-1.4283947571478788	0.7839586281240735	0.9796164537057663	1.0447728584161144	1.5242448676550227	-0.2383073915232596	-1.367182106274601	1	1	1	1	1	1	FALSE	FALSE	FALSE	0.13221901681065013	0.1410348611759813	0.06090359907109205	0.06675505874226183	0.14103486117598132	0.06090359907109206	0.05442546363449638
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Cryomorphaceae;g__uncultured;__	0.18649819435328413	6.289403237331482	6.102905042978198	0.7997870671985854	0.999257871356231	1.0644621543599146	0.23318480880983916	6.294074250118504	5.733322709484222	0.8156179015483418	3.092397867005062e-10	9.848200058914471e-9	1	9.42562869863143e-9	2.903249377367986e-7	FALSE	TRUE	TRUE	0.16589919013194276	0.04248124404255478	0	0	0.04248124404255478	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Cryomorphaceae;g__Owenweeksia;s__uncultured_bacterium	0.8498527935618456	0.13663553247458077	-0.7132172610872649	0.6126388431243212	0.7670668480084406	0.833150075667092	1.3872003107537	0.17812728164348626	-0.8560489663476313	1	1	1	1	1	1	FALSE	FALSE	FALSE	0.12602316098432623	0.14611617747613423	0.03155777021253241	0.11709393990694532	0.14611617747613426	0.031557770212532414	0.040078879005610975
