# Constructed from biom file
#OTU ID	16S0064C	16S0064W	16S0073C	16S0073O	16S0073W	16S0074C	16S0074O	16S0084C	16S0084W	16S0087C	16S0087O	16S0088C	16S0088O	16S0089C	16S0089O	16S0090C	16S0090O	16S0092C	16S0093C	16S0093O	16S0093W	16S0094C	16S0113O	16S0117C	16S0117O	16S0117W	16S0118C	16S0119O	16S0119W	16S0120C	16S0120O	16S0120W	16S0123C	16S0123O	16S0123W	16S0141C	16S0141O	16S0142C	16S0142O	16S0143C	16S0143O	16S0146C	16S0146O	TB159	TB167	TB175	TB215	TB217	TB219	TB115	TB117	TB119	TB139	TB145	TB149	TB151	TB155	TB157
d__Bacteria;p__Planctomycetota;c__028H05-P-BN-P5	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	12.0	3912.0	0.0	0.0	9.0	0.0	0.0	43.0	0.0	0.0	812.0	0.0	0.0	0.0	0.0	0.0	8.0	8.0	5.0	0.0	53.0	21.0	10.0	19.0	0.0	0.0	33.0	0.0	0.0	3.0	4.0	0.0
d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia	31.0	25.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	11.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0	0.0	0.0	30.0	0.0	0.0	31.0	0.0	28.0	414.0	21.0	60.0	2789.0	0.0	2.0	1330.0	4.0	0.0	8.0	515.0	4.0
d__Bacteria;p__Dependentiae;c__Babeliae	0.0	375.0	0.0	0.0	3367.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	9.0	5.0	418.0	0.0	0.0	0.0	0.0	231.0	0.0	176.0	260.0	0.0	5.0	55.0	0.0	3.0	12.0	0.0	11.0	5.0	37.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	25.0	31.0	3.0	15.0	0.0	0.0	0.0	0.0	2.0	0.0	7.0	0.0
d__Bacteria;p__Patescibacteria;c__ABY1	2.0	3508.0	0.0	0.0	1587.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	135.0	0.0	427.0	0.0	15.0	0.0	0.0	117.0	0.0	1337.0	9.0	0.0	17.0	2.0	0.0	5.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	23.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Kapabacteria	107.0	22.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	34.0	0.0	26.0	200.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	185.0	0.0	23.0	35.0	32.0	2762.0	0.0	0.0	35.0	0.0	15.0	119.0	0.0	0.0	5.0	0.0	26.0	0.0	8.0	8.0	0.0	0.0	11.0	12.0	250.0	0.0	21.0	318.0	6.0	3.0	175.0	6.0	1298.0	0.0	128.0	0.0
d__Bacteria;p__Firmicutes;c__Negativicutes	42.0	0.0	571.0	0.0	0.0	0.0	0.0	5.0	0.0	6789.0	54.0	0.0	0.0	4.0	11.0	0.0	0.0	5.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	487.0	0.0	0.0	43.0	0.0	14.0	0.0	0.0	36.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	30.0	5.0	0.0	2.0	0.0
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Chloroflexi;c__KD4-96	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.0	0.0	0.0	0.0	0.0	0.0	2.0	16.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Deferribacterota;c__Deferribacteres	0.0	0.0	15.0	12.0	0.0	0.0	66.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	3.0	0.0	0.0	118.0	0.0	0.0	40.0	0.0	95.0	0.0	0.0	152.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	3.0	54.0	3.0	0.0	0.0	24.0	0.0	0.0	34.0	0.0	0.0	0.0	154.0	0.0
