taxon	W	p_val	q_val	diff_abn	(Intercept)	SampleSiteCLOACA	SampleSiteORAL	SampleSiteTANK WATER	global	CARAPACE - CLOACA	CARAPACE - ORAL	CARAPACE - TANK WATER	CLOACA - ORAL	CLOACA - TANK WATER	ORAL - TANK WATER	structural_zero (SampleSite = CARAPACE)	structural_zero (SampleSite = CLOACA)	structural_zero (SampleSite = ORAL)	structural_zero (SampleSite = TANK WATER)
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Gammaproteobacteria_Incertae_Sedis;f__Unknown_Family;g__Marinicella;s__uncultured_bacterium	4.456940783579326	0.43232675806282583	1	FALSE	0.11423755341489877	0.0964097359096303	0.05772808043448441	0	0.08645738512390015	0.0964097359096303	0.05772808043448441	0	0.081530345448982	0.08451933988698883	0.2035238453351057	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfurimonas;__	2.6063289846512148	0.9127621486597101	1	FALSE	0.12169534027793177	0.25762005321144915	0.09832513546549175	0.2259022579338655	0.5169524725950646	0.2576200532114491	0.09832513546549176	0.22590225793386548	0.13123045853535403	0	0.3397789438368792	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Coxiellales;f__Coxiellaceae;g__Coxiella;s__uncultured_bacterium	21.394475563931028	1.743435836360299e-4	0.07740855113439728	FALSE	0	0.4041764881793377	0.17423914200137244	0	0	0.4041764881793377	0.17423914200137236	0	0.17578997990192427	0	0	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Thalassotalea;s__Thalassomonas_sp.	2.303688704661702	0.9763707651227462	1	FALSE	0.19792024256856042	0.3219307000449644	0.21658957474161475	0.03404580798733535	0.3096870044425019	0.3219307000449643	0.21658957474161475	0.034045807987335364	0.032548155806012544	0.2787510703585685	0.19503249503657719	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__Aureispira;__	6.504399655455339	0.17897830769751216	1	FALSE	0.10942572359054496	0	0.08019171199626768	0	0	0	0.08019171199626769	0	0.028965390945820874	0.1137899687487934	0.18103076187651707	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__uncultured;__	6.776578629622307	0.15874078584466086	1	FALSE	0	0	0.2080291890893788	0.014377701683941108	0	0	0.2080291890893788	0.014377701683941105	0.056382819369052296	0.13224075488096373	0.09198198795573753	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Halieaceae;__;__	18.390299047478056	7.307974952798859e-4	0.3157045179609107	FALSE	0	0	0	0.18107140107957082	0	0	0	0.1810714010795709	0.08707246874204769	0	0.09795098689081176	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__Fluviicola;__	7.143468498888423	0.13492568188787218	1	FALSE	0.18829107244150387	0.1900713217056214	0.06387002705064156	0	0	0.19007132170562138	0.06387002705064156	0	0.04100666580097011	0	0	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Arenicellales;f__Arenicellaceae;g__Arenicella;s__uncultured_bacterium	2.3463884744020946	0.992615199333827	1	FALSE	0.14184015605898023	0.11534627936429306	0.19656539591991692	0.10101360030412826	0.014044894737386023	0.11534627936429306	0.19656539591991698	0.10101360030412826	0.03156969624187497	0.21588449684333785	0.17201491501246205	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus;__	11.926363241027568	0.015279426251694801	1	FALSE	0.2872839917253916	0.5443449197769774	0.34074078257014007	0	0	0.5443449197769774	0.34074078257014	0	0	0.07310400516865666	0	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__uncultured;s__uncultured_bacterium	8.897575259044984	0.06136827117478645	1	FALSE	0.40234308142583486	0.21872103628569614	0.08453141495058711	0	0	0.2187210362856961	0.08453141495058711	0	0.2238983212187603	0	0	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__PB19;f__PB19;g__PB19;s__uncultured_bacterium	0.7245694704875673	0.26517938693824206	1	FALSE	0.2810957577828176	0.15474107735578033	0.21822973802152515	0.08038303227235084	0.03977308368303596	0.15474107735578033	0.21822973802152515	0.08038303227235086	0.09496407191575872	0.11183693529923418	0.05555736137772477	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Halomonadaceae;g__Halomonas;__	3.3893644168973394	0.6707943808363606	1	FALSE	0.10897639069266712	0.126186540450054	0.04835843359939112	0.025132046411212715	0.07813731917941248	0.12618654045005404	0.04835843359939111	0.02513204641121271	0.03602004051383681	0.026381053631616302	0.010961252375925289	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Stappiaceae;g__Labrenzia;__	17.635579214633317	0.0010458176449680827	0.4486557696913075	FALSE	0	0	0	0	0	0	0	0	0.0983274685918327	0.12708904132302967	0.054445221815017604	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Tenacibaculum;__	2.3382009034246307	0.9895156891612304	1	FALSE	0.10850720626566325	0.17285265080456086	0.08014759412438704	0.023178354530842833	0.1656508897187606	0.17285265080456086	0.08014759412438707	0.023178354530842833	0.032777901929406245	0.2034082164337918	0.11426527702782945	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Cardiobacteriaceae;g__uncultured;s__uncultured_bacterium	25.874024775072527	2.02690787309882e-5	0.009222430822599631	TRUE	0.4239660922481846	0.45780809751938917	0	0	0	0.4578080975193891	0	0	0.04948419162805601	0	0	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__Peredibacter;__	1.381981898235046	0.5804726871744452	1	FALSE	0.14376737312978954	0.1653522603318128	0.1290653654776702	0.014248226955885911	0.14564191791452394	0.16535226033181277	0.12906536547767022	0.014248226955885917	0.005885974090875562	0.12380382534175283	0.10540893185141077	FALSE	FALSE	FALSE	FALSE
