# Constructed from biom file
#OTU ID	16S0064C	16S0073C	16S0074C	16S0084C	16S0087C	16S0088C	16S0089C	16S0090C	16S0092C	16S0093C	16S0094C	16S0113C	16S0117C	16S0118C	16S0119C	16S0120C	16S0123C	16S0141C	16S0142C	16S0143C	16S0146C
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;__	693.0	2858.0	23.0	0.0	460.0	0.0	8.0	0.0	107.0	0.0	274.0	0.0	393.0	0.0	0.0	0.0	60.0	203.0	139.0	605.0	0.0
d__Bacteria;p__Bacteroidota;c__Kapabacteria;o__Kapabacteriales;f__Kapabacteriales;g__Kapabacteriales;s__uncultured_bacterium	98.0	0.0	0.0	0.0	0.0	31.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	9.0	0.0	0.0	0.0	7.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aurantivirga;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.0	5.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	3.0	0.0	9.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__uncultured;__	635.0	0.0	0.0	3.0	0.0	16.0	0.0	47.0	0.0	490.0	1129.0	0.0	0.0	65.0	0.0	80.0	1995.0	0.0	37.0	283.0	46.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;__;__	4250.0	268.0	748.0	1450.0	375.0	823.0	5904.0	3551.0	211.0	12118.0	1959.0	0.0	0.0	29.0	746.0	1744.0	5846.0	526.0	11696.0	2457.0	4944.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Marinomonadaceae;g__Marinomonas;s__uncultured_marine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	102.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae;g__Maritalea;s__Maritalea_sp.	77.0	0.0	0.0	0.0	0.0	0.0	126.0	0.0	0.0	4.0	0.0	0.0	0.0	17.0	0.0	0.0	11.0	0.0	1182.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae;g__Shewanella;__	0.0	1980.0	4430.0	54.0	776.0	1410.0	339.0	1452.0	57.0	0.0	0.0	0.0	0.0	0.0	0.0	170.0	32.0	61.0	1065.0	566.0	2797.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Marinifilum;s__uncultured_bacterium	3733.0	2222.0	5.0	546.0	0.0	42.0	2363.0	33.0	0.0	173.0	1648.0	11.0	0.0	1098.0	13.0	2918.0	1667.0	815.0	6077.0	5680.0	516.0
d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__Oligoflexales;f__uncultured;g__uncultured;s__uncultured_bacterium	3337.0	6.0	0.0	32.0	0.0	150.0	0.0	99.0	0.0	22.0	0.0	0.0	0.0	798.0	0.0	481.0	1713.0	0.0	528.0	0.0	281.0
