# Constructed from biom file
#OTU ID	16S0064C	16S0073C	16S0074C	16S0084C	16S0087C	16S0088C	16S0089C	16S0090C	16S0092C	16S0093C	16S0094C	16S0113C	16S0117C	16S0118C	16S0119C	16S0120C	16S0123C	16S0141C	16S0142C	16S0143C	16S0146C
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Marinomonadaceae;g__Marinomonas	0.0	0.0	4.244971225159338e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012077417259542683	0.0	0.0	0.00021242697822623473	0.0	0.0	0.0	0.0	8.039554608674679e-05	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae;g__Maritalea	0.0011793148180906893	0.0	0.0	5.199018425321299e-05	0.0	0.0	0.001282294472476194	0.00029751279305010117	0.0	0.00011934598400763814	0.0	0.0	0.0	0.009948663480261993	0.0	0.0	0.00036991140621821076	0.0	0.010732805402580698	0.0	8.44624631032398e-05
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae;g__Shewanella	0.12366098630029286	0.056572337522712554	0.12489918193340246	0.00476230087759431	0.06606927142921058	0.37916960751219814	0.008278007511665846	0.06366773771272165	0.058345234256230706	0.0	0.03621195359835991	0.0	0.0	0.0	0.0	0.07446248856358646	0.02077977324430799	0.005680865726685168	0.010647385134863529	0.03790093157391072	0.10074149151819055
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Marinifilum	0.15793973701279557	0.05168717345790397	0.008271629644453339	0.024279416046250467	0.0	0.011139411421732593	0.017929359990894952	0.008003094133047721	0.006472566453217856	0.002194130013678886	0.016725700540946502	0.023168440826549782	0.0	0.04145866525048681	0.007475813544415127	0.033371454711802376	0.020585569756043427	0.09417199053809905	0.030535233348072517	0.09389952542461152	0.002369394359685622
d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__Oligoflexales;f__uncultured;g__uncultured	0.03279477956640525	3.772327463172653e-05	0.0	0.00033273717922056314	0.0	0.004603062570963881	0.0	0.0029453766511960016	0.0	0.00022951150770699643	0.0	0.0	0.0	0.02825278810408922	0.0	0.005500914913083257	0.015841455971294875	0.0	0.0026530530208626443	0.0	0.0012491553753689675
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Winogradskyella	0.0007468993847907699	5.029769950896871e-05	0.0	0.0	0.0	0.0027618375425783287	0.0	0.009074140188028086	0.0	0.0004957448566471123	0.0007916290304574195	0.0	0.0	0.00970083200566472	0.0015391380826737027	9.149130832570906e-05	7.398228124364214e-05	0.0	0.0036831209550990877	0.0	3.556314235925887e-05
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus	0.0	0.03421501009097597	5.761032377001959e-05	0.0	0.0	0.0	0.0	0.0	0.0004146127977150228	0.0	0.0001522363520110422	0.0	0.0	0.0	0.005936675461741424	0.0	0.0	0.0	4.0197773043373395e-05	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Ornithobacterium	0.01001434833028677	0.0012951657623559442	0.0013523265474436176	0.34543318221519775	0.0	0.0	0.2740392275883	0.03915268356539331	0.0029713917169576633	0.011521477686891221	0.0	0.0	0.0	0.0	0.0010993843447669306	0.0	0.1283222668170973	0.046787982640764406	0.0	0.0	0.3009797645719976
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Polaribacter	0.000766554631758948	0.0	0.0	0.0	0.0	0.006965968024058674	0.00407450965514625	0.0	0.0	0.0023593782992279233	0.00018268362241325066	0.0	0.0	0.00042485395645246946	0.0	2.2872827081427266e-05	0.0006750883163482346	0.0	0.00019093942195602364	0.0	6.223549912870301e-05
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius	0.0	0.0	0.0	0.0	0.0	0.0	0.00018968853143138965	0.0063965250505771745	0.0	0.00064263222157959	0.0	0.006261740763932373	0.0	0.005877146397592494	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Cyanobacteria;c__Vampirivibrionia;o__Gastranaerophilales;f__Gastranaerophilales;g__Gastranaerophilales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014411707990378663	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002864378202081882	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Moritellaceae;g__Moritella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003910876091327219	0.0005784981376419604	0.0	0.0	0.0	0.0	8.005489478499542e-05	0.0	0.0	6.532138119548178e-05	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__uncultured	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5123608152108374e-05	0.0	0.0
